id,value_theme,register,securitization,militarization,geopoliticization,affective_polarization,text
m001,european_unity,formal_address,1,1,1,0,"Let us be honest with ourselves about the hour we are living through. The freedoms our Union was built upon are no longer guaranteed by good intentions alone. Across our eastern frontier, a power that respects only strength is testing whether Europeans still have the will to defend what we are. We cannot meet that test with declarations. It requires that we rearm, that we invest in our common defence at a scale we have long avoided, and that every member state accept its share of the burden. A Europe that will not pick up the shield does not deserve to keep the values it carries. This is the responsibility our generation cannot refuse."
m002,freedom,op_ed,1,1,0,0,"Freedom has always demanded its defenders. We have grown comfortable imagining that the liberties we inherited would sustain themselves, that prosperity had made the old questions of force obsolete. They have not. If the European project means anything, it must now mean the readiness to protect it by every means a free people may legitimately wield, including arms. To fund our hospitals and our courts while leaving our defences hollow is not virtue; it is a quiet surrender. The continent must learn again that some things are worth the sacrifice of treasure and, if it comes to it, of more."
m003,democracy,parliamentary_debate,1,1,1,1,"Honourable members, we should stop pretending this is a normal debate about budgets. There are those in this chamber, and many more outside it, who would have us believe that Europe's democracy can be safe while the autocracies arm and our own citizens are courted by those who serve foreign interests. They are wrong, and some of them know they are wrong. The choice before us is between a continent that defends its democratic order with real capability, soldiers, munitions, a credible deterrent, and one that talks itself into irrelevance while rivals divide us from within. I will not lend my voice to the second. Those who block our rearmament are not cautious; they are, whether they intend it or not, on the other side."
m004,solidarity,press_statement,1,1,0,0,"Today the Council reaffirmed a simple principle: solidarity in Europe can no longer end at the civilian threshold. The values that bind us, dignity, protection of the vulnerable, mutual aid, now require that member states stand together in arms as readily as they have stood together in markets. We have agreed to accelerate joint procurement of defensive capabilities and to treat an attack on the readiness of one as a concern for all. This is not a departure from our founding ideals. It is their natural maturation in a harder age."
m005,strategic_autonomy,informal_remarks,1,1,1,0,"Look, I'll say plainly what diplomats say carefully. For a generation we outsourced our security and told ourselves it was a peace dividend. That era is finished. If we want a Europe that decides its own future, that isn't simply choosing which great power to shelter behind, then strategic autonomy has to mean hardware, not communiqués. Brigades. Air defence. An industrial base that can sustain a long fight. The values speech is easy; everyone can give it. The harder thing, the thing that actually keeps a free Europe free, is being willing and able to fight for it."
m006,rule_of_law,op_ed,1,1,0,1,"There is a fashionable cynicism that treats every call to defend Europe as warmongering. Its proponents drape themselves in the language of peace while the rule of law they claim to cherish is left undefended at the border and undermined within. Let us name the confusion plainly: a legal order that cannot be enforced is a preference, not a law, and enforcement in the end rests on capability. A Union serious about its constitutional values must be serious about the means to protect them, including the unglamorous, necessary business of armed strength. Those who sneer at this are not more moral than the rest of us. They are simply protected by someone else's willingness to bear the cost."
m007,human_rights,formal_address,1,1,1,0,"We speak often, and rightly, of Europe as a community of rights. But a community that cannot protect its members cannot guarantee their rights, and protection in this century is not only a matter of law and aid. When neighbouring regimes use force to redraw borders and silence dissent, the credible answer is not only condemnation but deterrence. I therefore call on this house to back a sustained increase in our collective military capacity, not in contradiction of our humanitarian vocation, but as its shield. Rights unbacked by power are promises we may not be able to keep."
m008,european_unity,press_statement,1,1,0,0,"The Commission today set out its vision for a Defence Union. The premise is straightforward: the European way of life cannot rest indefinitely on the protection of others. Safeguarding our democracies, our freedoms and our social model now requires a common capacity to deter and, if necessary, to fight. We propose joint financing of major capabilities and a single market for defence procurement. Peace, we have relearned, is something Europeans must be strong enough to keep."
m009,freedom,informal_remarks,1,1,1,1,"Can we drop the comfortable fiction for a moment? There's a contest underway for what the world will look like, and free societies are not guaranteed to win it. On one side, powers that build armies and mean to use them. On the other, a Europe still arguing about whether defending freedom is somehow beneath it, egged on by voices at home who'd rather we stayed weak and divided. I find that not just naïve but close to a betrayal. Freedom in the real world is held by those prepared to defend it with force. We either become a Europe that can fight for its liberties, or we become a footnote in someone else's order. There isn't a gentle third option."
m010,solidarity,parliamentary_debate,1,1,0,0,"Colleagues, solidarity has been the moral core of this Union, and I do not abandon it, I extend it. For too long we read solidarity as transfers and assistance alone. But a community that shares its prosperity must also be willing to share its defence, and to ask of its citizens the harder forms of commitment that security demands. I support the proposed defence investment because turning away from it would be the true betrayal of solidarity: leaving the exposed among us to face danger alone. Mutual protection, including by military means, is solidarity in its most serious form."
m011,rule_of_law,press_statement,1,1,1,0,"The Council concluded that defending the Union's legal order now has an external dimension that cannot be ignored. Where hostile states seek to coerce member governments and undermine European law through pressure and interference, members agreed that credible deterrence, including military readiness, forms part of the Union's response. The rule of law, they affirmed, is protected not only in courtrooms but by a Europe strong enough to deter those who would force it to bend."
m012,european_unity,op_ed,1,1,0,1,"Europe will not survive as a serious power if it keeps listening to the comfortable voices, at home, in our own parliaments and papers, who treat any talk of military strength as vulgar. They enjoy the security others pay for and call their dependence a principle. I have lost patience with it. A continent whose values are worth anything must be willing to defend them with force, and to stop indulging those among us who would keep Europe disarmed and dignified into irrelevance. Strength is not the opposite of our ideals. It is now their precondition."
m013,democracy,op_ed,1,0,0,0,"Our democracies face a genuine and existential test, but we should be precise about its nature. The danger is not at the gates; it is in the slow erosion of trust, the capture of institutions, the quiet normalisation of the unacceptable. Meeting it does not call for tanks. It calls for the unglamorous defence of independent courts, free media and honest elections, and for the courage to treat their protection as the emergency it is. To militarise this struggle would be to misunderstand it. The shield of a free society is, in the first place, its institutions."
m014,rule_of_law,press_statement,1,0,0,0,"The Council expressed grave concern that the rule of law in parts of the Union faces an unprecedented threat, one it regards as existential to the European project itself. Members agreed that extraordinary measures are warranted: accelerated infringement procedures, conditionality on disbursements, and enhanced monitoring. The response, members stressed, must remain firmly within the Union's legal and democratic toolkit. Defending the foundations of European law is a matter of urgency, but its instruments are juridical, not coercive."
m015,human_rights,formal_address,1,0,0,0,"We are facing, make no mistake, a moment of real peril for the rights that define us. Disinformation corrodes them, exhaustion erodes them, and complacency would finish the work. This is why I say plainly that the defence of human dignity in Europe is now an emergency of the first order. But let me be equally plain about the means. We defend these rights through stronger civil protections, through education, through a vigilant and well-resourced civil society, not by reaching for the language of war."
m016,strategic_autonomy,op_ed,1,0,1,0,"Europe's autonomy is genuinely at stake, and it is right to treat the matter with urgency. But autonomy is being lost less on any battlefield than in the quieter arenas where great powers now compete: technology, energy, supply chains, standards. A continent dependent on others for its chips, its fuel and its platforms is not sovereign, whatever its armies look like. The serious response is industrial and regulatory, securing critical inputs, investing in our own capacities, writing the rules others must follow. This is the terrain of contemporary rivalry, and it is where European strength must now be built."
m017,solidarity,informal_remarks,1,0,0,0,"I do think we underestimate the danger, honestly. The threat to European solidarity is real and it's serious, you can see it in how easily crises pull us apart, how quickly national reflexes return. That's an emergency in slow motion. But the answer isn't dramatic. It's boring, patient institution-building: shared fiscal capacity, crisis mechanisms that actually work, the habits of acting together. You hold a Union together with plumbing, not with trumpets."
m018,democracy,parliamentary_debate,1,0,0,1,"Make no mistake, our democratic order is under existential strain, and I will not soften that word. But I want to be clear with those who would exploit this fear to justify a turn we would regret. There are members who use every threat as a pretext for hard power and for casting half the continent as enemies. That is not vigilance; it is opportunism. The genuine defence of democracy lies in repairing trust, protecting the vote, and refusing the politics of permanent emergency. We can name a real danger without surrendering to those who profit from panic."
